observed_at,repo,stars,forks,open_issues,watchers,language,pushed_at
2026-09-16T16:16:56+00:00,astral-sh/uv,89871,3586,2903,186,Rust,2026-09-16T16:07:28Z
2026-09-16T16:16:56+00:00,duckdb/duckdb,41312,3787,877,279,C++,2026-09-16T15:47:46Z
2026-09-16T16:16:56+00:00,pandas-dev/pandas,49734,20387,2693,1141,Python,2026-09-16T15:42:51Z
2026-09-16T16:16:56+00:00,plotly/plotly.js,18334,2029,773,284,JavaScript,2026-09-16T13:00:37Z
2026-09-16T16:16:56+00:00,pola-rs/polars,39745,3104,2904,221,Rust,2026-09-16T15:51:25Z
2026-09-16T16:16:56+00:00,prefix-dev/pixi,7730,563,692,29,Rust,2026-09-16T14:28:29Z
2026-09-16T16:28:16+00:00,astral-sh/uv,89871,3587,2904,186,Rust,2026-09-16T16:23:21Z
2026-09-16T16:28:16+00:00,duckdb/duckdb,41312,3787,880,279,C++,2026-09-16T15:47:46Z
2026-09-16T16:28:16+00:00,pandas-dev/pandas,49734,20388,2693,1141,Python,2026-09-16T15:42:51Z
2026-09-16T16:28:16+00:00,plotly/plotly.js,18334,2029,773,284,JavaScript,2026-09-16T13:00:37Z
2026-09-16T16:28:16+00:00,pola-rs/polars,39745,3104,2904,221,Rust,2026-09-16T15:51:25Z
2026-09-16T16:28:16+00:00,prefix-dev/pixi,7730,563,692,29,Rust,2026-09-16T14:28:29Z
2026-09-16T16:34:12+00:00,astral-sh/uv,89871,3587,2901,186,Rust,2026-09-16T16:31:32Z
2026-09-16T16:34:12+00:00,duckdb/duckdb,41312,3787,880,279,C++,2026-09-16T15:47:46Z
2026-09-16T16:34:12+00:00,pandas-dev/pandas,49734,20388,2693,1141,Python,2026-09-16T15:42:51Z
2026-09-16T16:34:12+00:00,plotly/plotly.js,18334,2029,773,284,JavaScript,2026-09-16T13:00:37Z
2026-09-16T16:34:12+00:00,pola-rs/polars,39745,3104,2904,221,Rust,2026-09-16T15:51:25Z
2026-09-16T16:34:12+00:00,prefix-dev/pixi,7730,563,692,29,Rust,2026-09-16T14:28:29Z
2026-09-16T18:33:04+00:00,astral-sh/uv,89871,3587,2903,186,Rust,2026-09-16T18:22:29Z
2026-09-16T18:33:04+00:00,duckdb/duckdb,41315,3787,879,279,C++,2026-09-16T18:21:05Z
2026-09-16T18:33:04+00:00,pandas-dev/pandas,49735,20388,2693,1141,Python,2026-09-16T18:17:28Z
